compound_id,smiles,measured_log_solubility_mol_per_L
3-chloropropionitrile,ClCCC#N,-0.29
3-Methyl-2-butanol,CC(C)C(C)O,-0.18
1-Bromo-2-methylpropane,CC(C)CBr,-2.43
Fluvalinate,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.003
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,-4.74
isocarbamid,C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
acetyl sulfisoxazole,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.59
sulfaguanidine,NC(=N)NS(=O)(=O)c1ccc(N)cc1,-1.99
"Hexachloro-1,3-butadiene",ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081
p-benzidine,Nc1ccc(cc1)c2ccc(N)cc2,-2.7
Bromodichloromethane,BrC(Cl)Cl,-1.54
Perfluidone,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
Acetamide,CC(=O)N,1.58
"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,-0.62
Dibromomethane,BrCBr,-1.17
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,-3.68
Fluridone,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445
Digitoxin,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-5.292999999999999
5-Allyl-5-isopropylbarbital,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
Flurochloridone,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
fluconazole,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,-1.8
alloxan,O=C1NC(=O)C(=O)C(=O)N1,-1.25
"1,3-Dichloropropane",ClCCCCl,-1.62
"2,3-Dimethylbutane",CC(C)C(C)C,-3.65
cytosine,Nc1cc[nH]c(=O)n1,-1.155
Ethylene,C=C,-0.4
5-Allyl-5-ethylbarbital,O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614
probarbital,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
Isopropyl acetate,CC(C)OC(=O)C,-0.55
alloxantin,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99
Cyhalothrin,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176
borneol,CC1(C)C2CCC1(C)C(O)C2,-2.32
phthalamide,c1cC2C(=O)NC(=O)C2cc1,-2.932
"5,5-Diallylbarbital",O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077
thiouracil,Sc1nccc(=O)[nH]1,-2.273
5-Ethyl-5-(3-methylbutyl)barbital,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658
Urea,NC(=O)N,0.96
1-Chloro-2-methylpropane,ClCC(C)C,-2.0
5-Ethyl-5-isopropylbarbituric acid,O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
Cyclohexyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.06
hydantoin,O=C1CNC(=O)N1,-0.4
Betamethasone-17-valerate,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-4.71
"2,4-Dimethyl-2-pentanol ",CC(C)CC(C)(C)O,-0.92
Cycloheptyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168
5-Methyl-5-ethylbarbituric acid,O=C1NC(=O)NC(=O)C1(C)CC,-1.228
5-(3-Methyl-2-butenyl)-5-ethylbarbital,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253
2-cyanoguanidine,NC(N)=NC#N,-0.31
triamcinolone acetonide,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO,-4.31
Triallate,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.88
"1,2-Dichloropropane",CC(Cl)CCl,-1.6
"5,5-Dimethylbarbituric acid",O=C1NC(=O)NC(=O)C1(C)C,-1.742
3-Methyl-2-butanone,CC(C)C(=O)C,-0.12
Cyclopentyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCCC1)C(=O)N2,-2.349
Tetrachloroethylene,ClC(=C(Cl)Cl)Cl,-2.54
Flumethasone,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613
"1,2-Dibromoethane",BrCCBr,-1.68
Epitostanol,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,-5.41
"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,-1.3
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593
Diallate,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.2860000000000005
dexamethasone acetate,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O,-4.9
Fluoromethalone,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099
Cyclooctyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
"cis 1,2-Dichloroethylene",Cl\C=C/Cl,-1.3
4-Methyl-2-pentanol,CC(C)CC(C)O,-0.8
parabanic acid,O=C1NC(=O)C(=O)N1,-0.4
